pivot_time,pivot_price,pivot_type,structure,leg_return_pct,leg_bars,leg_duration_sec
2024-10-01 05:15:00+00:00,66.62,high,HH,0.3313253012048101,1,60.0
2024-10-01 05:16:00+00:00,66.5,low,HL,-0.18012608826178944,1,60.0
2024-10-01 05:17:00+00:00,66.7,high,HH,0.3007518796992459,1,60.0
2024-10-01 05:23:00+00:00,66.49,low,LL,-0.31484257871066124,6,360.0
2024-10-01 05:25:00+00:00,66.56,high,LH,0.10527898932171098,2,120.0
2024-10-01 05:27:00+00:00,66.48,low,LL,-0.12019230769230171,2,120.0
2024-10-01 05:29:00+00:00,66.64,high,HH,0.24067388688326918,2,120.0
2024-10-01 05:30:00+00:00,66.61,low,HL,-0.045018007202879406,1,60.0
2024-10-01 05:34:00+00:00,66.94,high,HH,0.4954211079417403,4,240.0
2024-10-01 05:35:00+00:00,66.92,low,HL,-0.029877502240804876,1,60.0
2024-10-01 05:36:00+00:00,67.03,high,HH,0.16437537358038323,1,60.0
2024-10-01 05:37:00+00:00,66.9,low,LL,-0.19394301059226793,1,60.0
2024-10-01 05:38:00+00:00,66.92,high,LH,0.029895366218224417,1,60.0
2024-10-01 05:40:00+00:00,66.82,low,LL,-0.14943215780036656,2,120.0
2024-10-01 05:42:00+00:00,67.0,high,HH,0.2693804250224696,2,120.0
2024-10-01 05:44:00+00:00,66.91,low,HL,-0.13432835820895717,2,120.0
2024-10-01 05:45:00+00:00,67.0,high,LH,0.1345090419967221,1,60.0
2024-10-01 05:46:00+00:00,66.92,low,HL,-0.11940298507462366,1,60.0
2024-10-01 05:51:00+00:00,67.1,high,HH,0.26897788404063316,5,300.0
2024-10-01 05:52:00+00:00,66.97,low,HL,-0.19374068554395274,1,60.0
2024-10-01 05:54:00+00:00,67.09,high,LH,0.17918470957145605,2,120.0
2024-10-01 05:56:00+00:00,66.98,low,HL,-0.16395886123118375,2,120.0
2024-10-01 05:59:00+00:00,67.06,high,LH,0.11943863839951607,3,180.0
2024-10-01 06:00:00+00:00,67.05,low,HL,-0.014912019087387485,1,60.0
2024-10-01 06:01:00+00:00,67.18,high,HH,0.1938851603281222,1,60.0
2024-10-01 06:02:00+00:00,67.16,low,HL,-0.02977076510868315,1,60.0
2024-10-01 06:03:00+00:00,67.32,high,HH,0.2382370458606342,1,60.0
2024-10-01 06:06:00+00:00,67.19,low,HL,-0.19310754604872082,3,180.0
2024-10-01 06:07:00+00:00,67.3,high,LH,0.1637148385176257,1,60.0
2024-10-01 06:08:00+00:00,67.26,low,HL,-0.05943536404159344,1,60.0
2024-10-01 06:09:00+00:00,67.36,high,HH,0.14867677668746193,1,60.0
2024-10-01 06:10:00+00:00,67.26,low,LL,-0.14845605700711806,1,60.0
2024-10-01 06:12:00+00:00,67.42,high,HH,0.23788284269996574,2,120.0
2024-10-01 06:13:00+00:00,67.4,low,HL,-0.029664787896765965,1,60.0
2024-10-01 06:15:00+00:00,67.63,high,HH,0.3412462908011671,2,120.0
2024-10-01 06:16:00+00:00,67.51,low,HL,-0.17743604909062904,1,60.0
2024-10-01 06:17:00+00:00,67.76,high,HH,0.3703155088135013,1,60.0
2024-10-01 06:18:00+00:00,67.65,low,HL,-0.16233766233766378,1,60.0
2024-10-01 06:20:00+00:00,67.7,high,LH,0.07390983000739038,2,120.0
2024-10-01 06:21:00+00:00,67.6,low,LL,-0.1477104874446189,1,60.0
2024-10-01 06:22:00+00:00,67.62,high,LH,0.02958579881657819,1,60.0
2024-10-01 06:25:00+00:00,67.57,low,LL,-0.07394262052649037,3,180.0
2024-10-01 06:26:00+00:00,67.65,high,HH,0.11839573775345169,1,60.0
2024-10-01 06:30:00+00:00,67.47,low,LL,-0.2660753880266209,4,240.0
