timeframe,leg_id,start_ts,end_ts,bin_size,lvn_price,lvn_volume,lvn_raw_volume,pct_of_max,depth_pct,pct_of_total,within_value_area,distance_to_poc,poc_price,value_area_low,value_area_high,lvn_rank,leg_pattern,leg_direction,leg_return_pct,leg_bars,leg_duration_sec
minute,1617,2024-10-04 02:40:00+00:00,2024-10-04 02:51:00+00:00,0.0010000000000005115,73.64750000000036,3.460000000016544,3.460000000016544,0.45827814569509495,0.541721854304905,0.006038394415382901,True,0.004000000000019099,73.65150000000038,73.61550000000021,73.72950000000075,1,LH->LL,downtrend,-0.2170080021700937,11,660.0
minute,2529,2024-10-07 18:09:00+00:00,2024-10-07 18:23:00+00:00,0.0015000000000000568,77.36324999999975,2.7124999999870667,2.7124999999870667,0.3395931142409801,0.66040688575902,0.008444017847841781,True,0.02999999999985903,77.3332499999999,77.31824999999996,77.37824999999968,1,LH->LL,downtrend,-0.1807617817947027,14,840.0
minute,2690,2024-10-08 00:10:00+00:00,2024-10-08 00:20:00+00:00,0.0015000000000000568,75.84725000000023,2.4125000000113612,2.4125000000113612,0.3327586206896961,0.6672413793103039,0.00849471830989644,True,0.015000000000071623,75.8622500000003,75.82475000000011,75.88925000000043,1,HL->HH,uptrend,0.197889182058053,10,600.0
minute,2703,2024-10-08 01:40:00+00:00,2024-10-08 01:57:00+00:00,0.001999999999999602,75.86699999999979,5.464285714272283,5.464285714272283,0.34525815380909913,0.6547418461909009,0.005769018068701492,True,0.027999999999934744,75.89499999999973,75.82099999999991,75.94099999999963,1,LH->LL,downtrend,-0.2632271650434337,17,1020.0
minute,3229,2024-10-08 19:01:00+00:00,2024-10-08 19:39:00+00:00,0.000999999999999801,73.89750000000095,3.397500000016355,3.397500000016355,0.4408997512707037,0.5591002487292963,0.0056719532554516845,True,0.014000000000066848,73.91150000000101,73.82050000000058,73.96050000000125,1,LH->LL,downtrend,-0.3650128430444765,35,2280.0
minute,3236,2024-10-08 20:46:00+00:00,2024-10-08 20:57:00+00:00,0.000999999999999801,73.92750000000022,1.1333333333387967,1.1333333333387967,0.23926812104156495,0.7607318789584351,0.006367041198529991,True,0.014000000000066848,73.94150000000029,73.92550000000021,73.97050000000043,1,HL->HH,uptrend,0.1353546291283258,11,660.0
minute,3242,2024-10-08 21:06:00+00:00,2024-10-08 21:16:00+00:00,0.0020000000000003127,74.01499999999979,5.999999999986025,5.999999999986025,0.29955779563507723,0.7004422043649228,0.009360374414961856,True,0.01999999999995339,73.99499999999983,73.95899999999992,74.02499999999975,1,HL->HH,uptrend,0.2840909090908949,10,600.0
minute,3279,2024-10-08 23:29:00+00:00,2024-10-08 23:49:00+00:00,0.0010000000000005115,73.78150000000049,4.945000000022547,4.945000000022547,0.43206640454354134,0.5679335954564586,0.010940265486768424,True,0.010000000000047748,73.77150000000044,73.72850000000024,73.82050000000068,1,LH->LL,downtrend,-0.2437043054427157,20,1200.0
minute,3792,2024-10-09 16:34:00+00:00,2024-10-09 16:47:00+00:00,0.0010000000000005115,73.34150000000048,4.196666666687172,4.196666666687172,0.44424841213844984,0.5557515878615502,0.00630130130132856,True,0.010000000000047748,73.33150000000043,73.28550000000021,73.38950000000071,1,HL->HH,uptrend,0.2048061168760329,13,780.0
minute,3806,2024-10-09 20:38:00+00:00,2024-10-09 21:00:00+00:00,0.000999999999999801,73.65750000000065,3.6600000000178716,3.6600000000178716,0.3289394847215178,0.6710605152784822,0.005604900459443314,True,0.014000000000066848,73.67150000000072,73.59650000000036,73.69050000000081,1,HL->HH,uptrend,0.2038874541253399,22,1320.0
minute,4270,2024-10-10 22:35:00+00:00,2024-10-10 22:49:00+00:00,0.0015000000000000568,75.53325000000027,4.225000000020165,4.225000000020165,0.33202357563850515,0.6679764243614948,0.005374662758487959,True,0.021000000000100272,75.51225000000017,75.48975000000004,75.60075000000057,1,HL->HH,uptrend,0.2517223105458432,14,840.0
minute,4275,2024-10-10 23:22:00+00:00,2024-10-10 23:33:00+00:00,0.000999999999999801,75.6315000000001,1.833333333342018,1.833333333342018,0.46610169491489506,0.5338983050851049,0.007333333333366658,True,0.010000000000047748,75.62150000000005,75.6105,75.68450000000036,1,LH->LL,downtrend,-0.1848184818481812,11,660.0
minute,4722,2024-10-13 22:41:00+00:00,2024-10-13 22:51:00+00:00,0.0020000000000003127,74.56499999999963,5.078571428560458,5.078571428560458,0.4064405487805579,0.5935594512194421,0.007801184990117507,True,0.01999999999995339,74.54499999999967,74.49099999999979,74.64899999999943,1,HL->HH,uptrend,0.3360215053763493,10,600.0
minute,4730,2024-10-13 23:24:00+00:00,2024-10-13 23:46:00+00:00,0.000999999999999801,74.75750000000046,4.466666666687565,4.466666666687565,0.41614906832285153,0.5838509316771485,0.005697278911589681,True,0.004000000000019099,74.76150000000048,74.71750000000027,74.83950000000085,1,HL->HH,uptrend,0.2410929547281171,22,1320.0
minute,5073,2024-10-14 15:06:00+00:00,2024-10-14 15:23:00+00:00,0.000999999999999801,73.8115000000002,6.141666666697775,6.141666666697775,0.42283419391853583,0.5771658060814642,0.006235194585476823,True,0.020000000000095497,73.7915000000001,73.78950000000009,73.8765000000005,1,LH->LL,downtrend,-0.2164209387258364,17,1020.0
minute,5108,2024-10-14 18:17:00+00:00,2024-10-14 18:28:00+00:00,0.0020000000000003127,71.95699999999962,4.1199999999906325,4.1199999999906325,0.28314606741575743,0.7168539325842426,0.005111662531011539,True,0.05799999999987904,72.0149999999995,71.90099999999975,72.08699999999934,1,HL->HH,uptrend,0.4178272980501329,11,660.0
minute,5111,2024-10-14 18:34:00+00:00,2024-10-14 18:52:00+00:00,0.000999999999999801,72.05150000000067,2.590000000012636,2.590000000012636,0.4389830508476211,0.5610169491523789,0.005833333333360205,True,0.030000000000143245,72.02150000000053,71.99150000000039,72.06950000000076,1,LH->LL,downtrend,-0.24968789013734,18,1080.0
minute,5119,2024-10-14 19:45:00+00:00,2024-10-14 19:58:00+00:00,0.0010000000000005115,71.64150000000019,3.9000000000180197,3.9000000000180197,0.44827586206886444,0.5517241379311355,0.008280254777106866,True,0.020000000000095497,71.6215000000001,71.6005,71.65450000000025,1,LH->LL,downtrend,-0.2090592334494823,13,780.0
minute,5134,2024-10-14 20:23:00+00:00,2024-10-14 20:34:00+00:00,0.0019999999999999575,71.84699999999967,4.495238095227311,4.495238095227311,0.12062356248404521,0.8793764375159547,0.005059491906945345,True,0.06199999999984129,71.78499999999983,71.75899999999987,71.86699999999962,1,HL->HH,uptrend,0.2928461860270737,11,660.0
minute,5165,2024-10-14 22:57:00+00:00,2024-10-14 23:07:00+00:00,0.0015000000000000568,71.5127499999998,2.759999999986403,2.759999999986403,0.335154826958105,0.6648451730418949,0.00650789908037474,True,0.01949999999990837,71.49324999999989,71.47075,71.57424999999951,1,LH->LL,downtrend,-0.237297599106645,10,600.0
minute,5607,2024-10-15 15:25:00+00:00,2024-10-15 15:40:00+00:00,0.0015000000000000568,70.95675000000031,14.71250000007031,14.71250000007031,0.47911747944320604,0.520882520556794,0.01094618975880722,True,0.006000000000028649,70.96275000000034,70.94175000000024,71.00775000000056,1,LH->LL,downtrend,-0.2673044456949935,15,900.0
